ba_a,ba_b,benchmark,intervention_mw,relief_mwh,residual_spread_usd_mwh,relief_value_usd,annual_cost_usd,benefit_cost_ratio,cost_per_relieved_dollar
PJM,NYIS,flexible_load,100.0,59906.80464913077,1.522202186403673,91474.28775843611,7000000.0,0.013067755394062302,76.52423617099367
PJM,NYIS,flexible_load,250.0,149418.433197943,1.5151182582855856,228153.4599419103,17500000.0,0.01303734056810916,76.70275964456397
PJM,NYIS,flexible_load,500.0,297679.74170139537,1.5033848950437436,454540.0562045413,35000000.0,0.01298685874870118,77.0009144898115
PJM,NYIS,flexible_load,1000.0,590766.7592018498,1.480190061054262,902067.2834389416,70000000.0,0.012886675477699165,77.59953307821978
MISO,SOCO,transmission_capacity,50.0,420568.42358391,1.2439898476397797,567767.3718382785,7500000.0,0.0757023162451038,13.209635445793603
MISO,SOCO,transmission_capacity,100.0,808111.2748255762,1.1463042526154388,1090950.221014528,15000000.0,0.07273001473430186,13.749481608840746
MISO,SOCO,transmission_capacity,250.0,1797517.8254902181,0.8969104957367029,2426649.0644117948,37500000.0,0.06471064171764786,15.453408797324295
MISO,SOCO,transmission_capacity,500.0,2991749.383976138,0.5958877313797467,4038861.668367787,75000000.0,0.05385148891157049,18.569588700548273
MISO,SOCO,transmission_capacity,1000.0,4312302.53454969,0.2630238432658527,5821608.421642082,150000000.0,0.03881072281094721,25.76607513524415
MISO,SOCO,grid_storage_4h,50.0,59665.16621804579,1.3349605605017303,80547.97439436182,9375000.0,0.008591783935398594,116.39026394506364
MISO,SOCO,grid_storage_4h,100.0,118665.6430601721,1.3200886652556252,160198.61813123233,18750000.0,0.008543926300332391,117.04220809595422
MISO,SOCO,grid_storage_4h,250.0,291752.5743478995,1.2764596837904627,393865.9753696644,46875000.0,0.008402474141219507,119.01256501276937
MISO,SOCO,grid_storage_4h,500.0,567612.1290124727,1.2069254254388504,766276.3741668382,93750000.0,0.008173614657779608,122.34489168732767
MISO,SOCO,grid_storage_4h,1000.0,1075068.0625625693,1.0790140611635184,1451341.8844594685,187500000.0,0.007740490050450499,129.1907868212814
MISO,SOCO,flexible_load,50.0,29916.135332219113,1.3424592197446208,40386.78269849581,3500000.0,0.011539080770998803,86.66201579187332
MISO,SOCO,flexible_load,100.0,59665.16621804579,1.3349605605017303,80547.97439436182,7000000.0,0.011506853484908833,86.90473041231418
MISO,SOCO,flexible_load,250.0,147918.94021596224,1.312714962631692,199690.56929154904,17500000.0,0.011410889673802802,87.63558570685393
MISO,SOCO,flexible_load,500.0,291752.5743478995,1.2764596837904627,393865.9753696644,35000000.0,0.01125331358199041,88.86271520953446
MISO,SOCO,flexible_load,1000.0,567612.1290124727,1.2069254254388504,766276.3741668382,70000000.0,0.010946805345240547,91.35085245987133
